,S_x (D m),S_y (D m),theta (degrees),C_T^*,alpha,beta,gamma,C_p
20,9.003999999999998,5.308000000000001,19.70109848710983,0.7410330134346111,0.7451348342776333,0.3077542724074451,1.7595589910642178,0.016185144322902602
21,8.206999999999999,5.634000000000001,33.4613746642203,0.6700736965630151,0.7083799701473816,0.31813778655642644,1.7279272717676735,0.015376825691613834
22,7.546000000000001,9.923,37.33466175086771,0.7240426842690856,0.7367245367394696,0.37634104017223297,1.7280379788992537,0.028576208372821096
23,5.961,7.963000000000001,14.301117194297136,0.7707701066370276,0.7598014115695889,0.3010822167994279,1.7841655463850772,0.016093124793540508
24,7.643999999999998,6.0840000000000005,5.112369925601013,0.6871946124506556,0.7169941006191328,0.314647146337947,1.7914536876220177,0.015475530371678814
25,9.065999999999999,8.206999999999999,31.350433982906267,0.743421267896015,0.7465990195300236,0.37522701473764475,1.7328846300893865,0.02945487015898357
26,8.636000000000001,8.943000000000001,16.191583110781867,0.7559533251124082,0.7532493886701551,0.37291848803743266,1.7557359064393927,0.029614981103441837
27,6.664000000000001,5.7989999999999995,43.98899565699147,0.6734968378861304,0.7093076957644824,0.2915882262853188,1.7425983564362812,0.011988819608512112
28,5.11,6.762,34.68793952018104,0.7187351520533025,0.7331359230914316,0.26828704877766624,1.7528452012032836,0.010272511274815556
29,7.056000000000001,5.431,28.63767689437346,0.7199434470301687,0.7336853578061907,0.28198749643412974,1.7653023515754829,0.011961884721759285
30,6.1259999999999994,9.249,25.737546374038327,0.7384372048427499,0.7439775076378526,0.3317160559823442,1.741105868674819,0.02015421336531584
31,9.249,6.1659999999999995,38.13892949243394,0.6875663061129025,0.7178806691574598,0.33962630625465345,1.7458829234644562,0.019428495560921095
32,7.251999999999999,7.901,35.485433450878595,0.7342674563386118,0.7414660906636236,0.33679813737447095,1.7516475305026267,0.020952852618193043
33,6.1259999999999994,7.153999999999999,4.499645350992457,0.6344387815485554,0.6889315056996907,0.31659372514065065,1.7897774092751721,0.013977318677633724
34,5.214000000000001,7.153999999999999,11.974654410906766,0.7333265942381176,0.7403865259342585,0.2796213160361783,1.7897416401378106,0.011990582597066738
35,8.085999999999999,7.153999999999999,17.668058351239466,0.7488444709579029,0.749339035399273,0.33759014145016886,1.7538316396558014,0.021703814382454566
36,7.789999999999999,6.207000000000001,24.76566109096312,0.7368723333369349,0.7428429496859341,0.31207573176616493,1.7414441925756772,0.016770683361423865
37,6.7139999999999995,9.554,16.539949210549334,0.771328786658414,0.7606511990998085,0.3448609256537214,1.7626559416999108,0.02415626839809109
38,9.249,8.881,43.24583611307344,0.648561434775939,0.6976556658531933,0.4034734220688931,1.6971469425328887,0.02979948139716919
39,8.453000000000001,7.35,34.99715729332334,0.705221012599856,0.7267907948912888,0.3562023612302992,1.7481297893101047,0.023312346514285515
40,6.86,8.024,21.33128648234008,0.7428139079297401,0.7462730859597646,0.3279056493621208,1.7503772934543036,0.019637583006559652
41,6.0840000000000005,7.056000000000001,21.085660739563696,0.7480695301691748,0.7483377230003293,0.29559470407034383,1.760009884041388,0.014563167304694877
42,8.636000000000001,5.921,11.218698786956718,0.7582517720490596,0.7535910291209564,0.3149724461580683,1.779040059290141,0.017968652708737487
43,9.126000000000001,7.497999999999999,7.857261115048647,0.751919912312884,0.7508805299002845,0.35757114438949655,1.7872937994059008,0.025924724466797347
44,6.86,9.249,1.4822438593043763,0.5928391105803515,0.6664125165548914,0.38606192085472124,1.785538581763406,0.02288789873350443
45,8.269,9.433,24.195268787155356,0.7328579522978937,0.741501008505445,0.3788286096515261,1.74440211338781,0.0296523670755015
46,7.105999999999999,6.81,13.56963277363424,0.7633188825216259,0.7560016244279114,0.3063665893284332,1.7778118962639122,0.01670868566386499
47,6.664000000000001,6.81,32.2373726818695,0.730104131748526,0.7395446409755937,0.30589044319500724,1.7491327016677374,0.015563045067802463
48,6.002999999999999,6.207000000000001,37.554557125058096,0.7129679288473747,0.729834687331296,0.283717981471363,1.7612262779515353,0.012011288173038958
49,5.757000000000001,8.514,1.3198816859263713,0.585046933112641,0.6612586414674823,0.34735246506523715,1.7913850803362887,0.016385535438307317
