# Low-fidelity variance, Low-fidelity lengthscale 1 (S_x), Low-fidelity lengthscale 2 (S_y), Low-fidelity lengthscale 3 (theta), Scale variance, Scale lengthscale 1 (S_x), Scale lengthscale 2 (S_y), Scale lengthscale 3 (theta), Previous fidelity fidelity 2 variance, Previous fidelity fidelity 2 lengthscale, Bias variance, Bias lengthscale 1 (S_x), Bias lengthscale 2 (S_y), Bias lengthscale 3 (theta)
9.512595411684215962e-02,1.423250047253305617e+00,1.177424013901548827e+00,5.115535926548064882e-01,1.876003094984454947e+03,7.019571312734117964e+04,7.006733627886204907e+00,9.978069787523647705e+00,8.043352743788847006e-06,1.908005540776164521e-01,5.319053249166800779e-01,7.463715569210513786e+04,8.135396282360453915e+04,4.081540854143154138e+04
9.512715191439154172e-02,1.423252575947002052e+00,1.177422725781151813e+00,5.115544289928755095e-01,3.765402687555520299e-05,2.886748058956946261e+04,6.944400771531347161e+00,9.814045450260415748e+00,4.070986743001178070e+02,1.932683217082785121e-01,5.340867034435037297e-01,1.859096997576793729e+04,1.173036648257887828e+04,6.902800189830752061e+03
9.512573452765077375e-02,1.423248942357352664e+00,1.177424686977022183e+00,5.115533801300720107e-01,5.968491115980484665e+02,5.270245631877060077e+04,6.915347603793820852e+00,1.005217755422057024e+01,2.673516598030525554e-05,1.964683177444162543e-01,5.427317880669959571e-01,8.036834083499558619e+04,7.849336793226683221e+04,6.248075961097896652e+04
9.512659262734667054e-02,1.423247568728938983e+00,1.177426479459857678e+00,5.115541194914194900e-01,1.474032433297129308e-04,4.525987204144096904e+04,6.853954350466646694e+00,9.899138918935006970e+00,1.044725187195304983e+02,1.942670837175245191e-01,5.372442679731181947e-01,6.407442110563905590e+04,6.165644347823866701e+04,2.598345636329632543e+04
9.512625719924790169e-02,1.423249167900129564e+00,1.177424414895783977e+00,5.115539177158913153e-01,7.036939297176107857e+02,5.752909342717513937e+04,6.885056990282559575e+00,1.040821918132240320e+01,2.482312962679377838e-05,2.069987280738258828e-01,5.497950997929140771e-01,8.697769739701523213e+04,9.188299651441011520e+04,4.594211807975307602e+04
9.512596079845307695e-02,1.423248174169795321e+00,1.177424570837880324e+00,5.115539732591329880e-01,2.122331850869827570e-06,5.604795984035799484e+04,7.079632635024836418e+00,1.018124888144285123e+01,7.564377753622754426e+03,1.884271630317901902e-01,5.378793023697507891e-01,7.509999990654546127e+04,6.446950403896749776e+04,3.273106079219397725e+04
9.512617395580157120e-02,1.423248520120137472e+00,1.177424495872534838e+00,5.115538477362070457e-01,2.045745746409131447e-05,2.765911502748115890e+04,6.802435617125945022e+00,9.850719438882800105e+00,7.446200015008812443e+02,1.926155964026643186e-01,5.355581956524506637e-01,6.028622863628264167e+04,5.368178964170817198e+04,2.795201596615117887e+04
9.512621268591885115e-02,1.423248592886595443e+00,1.177424773426918536e+00,5.115538571828959213e-01,1.239217709582914884e-01,1.154499907693922578e+05,6.830133375099269877e+00,1.001570588001830409e+01,1.239544035723821741e-01,1.933277401563991416e-01,5.378639734069881051e-01,1.339935729366526357e+05,9.409689599706139416e+04,7.804539296333414677e+04
9.512621046400522584e-02,1.423248787645657876e+00,1.177424816451077438e+00,5.115538478247854126e-01,2.404281841329890204e-06,4.118647253424111113e+04,6.947907685846094417e+00,1.000078771277981105e+01,6.576496857550782806e+03,1.961122542739252850e-01,5.406513287539326251e-01,7.397885140153433895e+04,7.269159665547027544e+04,4.505744616113101802e+04
9.512619967124825993e-02,1.423248527401564045e+00,1.177424673165368807e+00,5.115538118601882234e-01,1.029940881019566419e-05,2.815997213591805121e+04,6.851139780029776638e+00,1.023984425266034393e+01,1.581424104162512549e+03,2.017067939568548129e-01,5.496334603960973952e-01,6.180821073137567146e+04,5.192342114899834269e+04,3.628874873382503574e+04
9.512673574542306054e-02,1.423250014162421140e+00,1.177425256540808318e+00,5.115537480567223794e-01,1.088746187968388767e+03,3.618018770175636018e+04,1.991675932044980968e+01,2.788316162348166571e+01,3.372155175417174112e-04,2.763400632830368964e-01,3.502210084606856093e-05,1.289789057502802372e+00,8.499725131803854694e-01,5.628419285726802279e-01
